id,title,workstream,role,milestone,priority,state,review_tier,outcome,acceptance,negative_control,depends_on,proposed_owned_paths,proposed_integration_hooks,existing_packets_to_reconcile
VG-ITEM-003,Roll one deterministic loot family,ITEM,Item systems engineer,G2,P1,DRAFT,B,Produce one approved base/affix pool through the loot RNG stream,"Fixed seed reproduces legal rolls and distribution checks report sample limits ; The changed behavior is exercised through the named production boundary, or explicitly classified as a contract/artifact-only task. ; Independent review checks the negative control and current integration applicability.",A cosmetic RNG call cannot reroll the item,VG-GOV-001 ; VG-ITEM-002 ; VG-CORE-005,native/systems/items/roll-one-deterministic-loot-family.hpp ; native/tests/roadmap/item-003_contract_test.cpp,native/src/core.cpp ; native/include/verdigris/core.hpp,
VG-ITEM-004,Make equipment swaps atomic,ITEM,Item systems engineer,G2,P1,DRAFT,B,"Apply equip, displaced-item return and derived stats as one command","Full bag, two-handed conflict and repeated request preserve all instances ; The changed behavior is exercised through the named production boundary, or explicitly classified as a contract/artifact-only task. ; Independent review checks the negative control and current integration applicability.",Failed equip cannot destroy the old item or duplicate the new one,VG-GOV-001 ; VG-ITEM-001 ; VG-CORE-004,native/systems/items/make-equipment-swaps-atomic.hpp ; native/tests/roadmap/item-004_contract_test.cpp,native/src/core.cpp ; native/include/verdigris/core.hpp,TASK-0171 ; TASK-0172 ; TASK-0184
VG-ITEM-005,Implement named ground pickup authority,ITEM,Item systems engineer,G2,P1,DRAFT,B,"Validate distance, binding and instance membership before transfer","Two simultaneous pickup requests produce exactly one winner ; The changed behavior is exercised through the named production boundary, or explicitly classified as a contract/artifact-only task. ; Independent review checks the negative control and current integration applicability.",Stale-instance or distant item IDs cannot be collected,VG-GOV-001 ; VG-ITEM-001 ; VG-WORLD-002 ; VG-CORE-004,native/systems/items/implement-named-ground-pickup-authority.hpp ; native/tests/roadmap/item-005_contract_test.cpp,native/src/core.cpp ; native/include/verdigris/core.hpp,
VG-ITEM-006,Expose loot-filter facts,ITEM,Item systems engineer,G2,P1,DRAFT,B,Publish safe item facts and filter ordering without gameplay mutation,"Filter hides/shows categories and preserves manual accessibility ; The changed behavior is exercised through the named production boundary, or explicitly classified as a contract/artifact-only task. ; Independent review checks the negative control and current integration applicability.",A hidden item cannot change ownership or droprate,VG-GOV-001 ; VG-ITEM-003 ; VG-UI-001,native/systems/items/expose-loot-filter-facts.hpp ; native/tests/roadmap/item-006_contract_test.cpp,native/src/core.cpp ; native/include/verdigris/core.hpp,
VG-ITEM-007,Add one behavior-changing relic,ITEM,Item systems engineer,G3,P1,DRAFT,B,"Implement one approved item that changes reach, cost or action shape","Equipped and unequipped combat fixtures demonstrate the promised behavior ; The changed behavior is exercised through the named production boundary, or explicitly classified as a contract/artifact-only task. ; Independent review checks the negative control and current integration applicability.",A rarity color or large flat damage number alone does not pass,VG-GOV-001 ; VG-ITEM-004 ; VG-BUILD-003 ; VG-GOV-007,native/systems/items/add-one-behavior-changing-relic.hpp ; native/tests/roadmap/item-007_contract_test.cpp,native/src/core.cpp ; native/include/verdigris/core.hpp,
VG-ITEM-008,Audit loot progression distribution,ITEM,Item systems engineer,G3,P1,DRAFT,B,Simulate the slice loot table over a versioned seed sample,"Report time-to-upgrade quantiles, dry streaks and unusable-item rate ; The changed behavior is exercised through the named production boundary, or explicitly classified as a contract/artifact-only task. ; Independent review checks the negative control and current integration applicability.",Mean reward alone cannot approve severe tail failures,VG-GOV-001 ; VG-ITEM-003 ; VG-ITEM-007 ; VG-QA-004,native/systems/items/audit-loot-progression-distribution.hpp ; native/tests/roadmap/item-008_contract_test.cpp,native/src/core.cpp ; native/include/verdigris/core.hpp,
VG-FORGE-001,Specify one House crafting recipe,FORGE,Economy designer / gameplay engineer,G1,P0,DRAFT,B,"Define inputs, output mutation, eligibility and failure semantics","Recipe names one player decision and every resource source/sink ; The changed behavior is exercised through the named production boundary, or explicitly classified as a contract/artifact-only task. ; Independent review checks the negative control and current integration applicability.",No agent invents irreversible Brand costs beyond approved values,VG-GOV-001 ; VG-GOV-007 ; VG-ITEM-002,native/systems/crafting/specify-one-house-crafting-recipe.hpp ; native/tests/roadmap/forge-001_contract_test.cpp,native/src/core.cpp ; native/client/main.cpp,
VG-FORGE-002,Preview one Brand transformation,FORGE,Economy designer / gameplay engineer,G2,P1,DRAFT,B,Compute the exact eligible outcome range without mutating an item,"Preview uses the same recipe and derived stat definitions as commit ; The changed behavior is exercised through the named production boundary, or explicitly classified as a contract/artifact-only task. ; Independent review checks the negative control and current integration applicability.",Cancelling preview consumes nothing and changes no RNG state,VG-GOV-001 ; VG-FORGE-001 ; VG-STAT-002,native/systems/crafting/preview-one-brand-transformation.hpp ; native/tests/roadmap/forge-002_contract_test.cpp,native/src/core.cpp ; native/client/main.cpp,
VG-FORGE-003,Commit Brand crafting transactionally,FORGE,Economy designer / gameplay engineer,G2,P1,DRAFT,B,Consume materials and mutate the existing item in one durable transaction,"Retry, insufficient materials and server restart preserve exactly one result ; The changed behavior is exercised through the named production boundary, or explicitly classified as a contract/artifact-only task. ; Independent review checks the negative control and current integration applicability.",Duplicate request cannot spend twice or reroll a Brand,VG-GOV-001 ; VG-FORGE-002 ; VG-SAVE-004 ; VG-ITEM-004,native/systems/crafting/commit-brand-crafting-transactionally.hpp ; native/tests/roadmap/forge-003_contract_test.cpp,native/src/core.cpp ; native/client/main.cpp,TASK-0198
VG-FORGE-004,Accumulate bounded Bond progress,FORGE,Economy designer / gameplay engineer,G2,P1,DRAFT,B,Count only approved meaningful events toward one Bond milestone,"Capped progress and qualifying event rules replay deterministically ; The changed behavior is exercised through the named production boundary, or explicitly classified as a contract/artifact-only task. ; Independent review checks the negative control and current integration applicability.",Idle time or harmless action spam cannot farm unlimited Bond credit,VG-GOV-001 ; VG-CORE-006 ; VG-ITEM-001 ; VG-GOV-007,native/systems/crafting/accumulate-bounded-bond-progress.hpp ; native/tests/roadmap/forge-004_contract_test.cpp,native/src/core.cpp ; native/client/main.cpp,TASK-0199
VG-FORGE-005,Activate one Bond milestone,FORGE,Economy designer / gameplay engineer,G3,P1,DRAFT,B,Apply one approved Bond ability or tradeoff at the threshold,"Activation is durable, exactly once and reflected in derived behavior ; The changed behavior is exercised through the named production boundary, or explicitly classified as a contract/artifact-only task. ; Independent review checks the negative control and current integration applicability.",Reconnect cannot trigger the unlock twice,VG-GOV-001 ; VG-FORGE-004 ; VG-SAVE-004 ; VG-STAT-005,native/systems/crafting/activate-one-bond-milestone.hpp ; native/tests/roadmap/forge-005_contract_test.cpp,native/src/core.cpp ; native/client/main.cpp,
VG-FORGE-006,Define scar and recovery mutation,FORGE,Economy designer / gameplay engineer,G3,P1,DRAFT,B,Apply one approved scar to a recovered item while preserving provenance,"The item keeps identity and a legible mechanical tradeoff ; The changed behavior is exercised through the named production boundary, or explicitly classified as a contract/artifact-only task. ; Independent review checks the negative control and current integration applicability.",Recovery never restores a dead Scion's complete inventory by accident,VG-GOV-001 ; VG-HOUSE-004 ; VG-ITEM-007 ; VG-GOV-006,native/systems/crafting/define-scar-and-recovery-mutation.hpp ; native/tests/roadmap/forge-006_contract_test.cpp,native/src/core.cpp ; native/client/main.cpp,
VG-FORGE-007,Wire the Brand and Bond pane,FORGE,Economy designer / gameplay engineer,G3,P1,DRAFT,B,Integrate existing models into the native inventory/House flow,"A player previews, commits and inspects the changed item through real controls ; The changed behavior is exercised through the named production boundary, or explicitly classified as a contract/artifact-only task. ; Independent review checks the negative control and current integration applicability.",A model-only demo cannot satisfy the runtime gate,VG-GOV-001 ; VG-FORGE-003 ; VG-FORGE-005 ; VG-UI-003,native/systems/crafting/wire-the-brand-and-bond-pane.hpp ; native/tests/roadmap/forge-007_contract_test.cpp,native/src/core.cpp ; native/client/main.cpp,
VG-FORGE-008,Check crafting conservation and sinks,FORGE,Economy designer / gameplay engineer,G4,P2,DRAFT,B,"Run a fixed recipe cycle through generation, spending and recovery","Material and item ledger balances except at named sources/sinks ; The changed behavior is exercised through the named production boundary, or explicitly classified as a contract/artifact-only task. ; Independent review checks the negative control and current integration applicability.",Repeated craft/salvage cannot generate net value without approved intent,VG-GOV-001 ; VG-FORGE-003 ; VG-FORGE-006 ; VG-ITEM-008,native/systems/crafting/check-crafting-conservation-and-sinks.hpp ; native/tests/roadmap/forge-008_contract_test.cpp,native/src/core.cpp ; native/client/main.cpp,
VG-SAVE-001,Inventory the real durable profile,SAVE,Persistence engineer,G1,P0,DRAFT,C,"Classify each live field as durable, reconstructible or transient","House, Scion, wear, bag, bank, passives, XP and recovery state are accounted for ; The changed behavior is exercised through the named production boundary, or explicitly classified as a contract/artifact-only task. ; Independent review checks the negative control and current integration applicability.",Saving only the small local Simulation cannot pass,VG-GOV-001 ; VG-GOV-004 ; VG-GOV-006,native/persistence/profile/inventory-the-real-durable-profile.hpp ; native/tests/roadmap/save-001_contract_test.cpp,native/include/verdigris/networking.hpp ; native/src/networking.cpp ; native/src/server_main.cpp,TASK-0097
VG-SAVE-002,Freeze the versioned profile schema,SAVE,Persistence engineer,G1,P0,DRAFT,C,"Define schema version, revision, identifiers and migration boundaries","A canonical fixture represents every approved durable field ; The changed behavior is exercised through the named production boundary, or explicitly classified as a contract/artifact-only task. ; Independent review checks the negative control and current integration applicability.",Unknown required versions fail without overwriting a valid save,VG-GOV-001 ; VG-SAVE-001 ; VG-ITEM-001,native/persistence/profile/freeze-the-versioned-profile-schema.hpp ; native/tests/roadmap/save-002_contract_test.cpp,native/include/verdigris/networking.hpp ; native/src/networking.cpp ; native/src/server_main.cpp,
VG-SAVE-003,Load and save one actual server profile,SAVE,Persistence engineer,G1,P0,DRAFT,C,Connect the profile repository to startup and authoritative state,"Earned item and allocated passive survive full server termination/restart ; The changed behavior is exercised through the named production boundary, or explicitly classified as a contract/artifact-only task. ; Independent review checks the negative control and current integration applicability.",Same-process reconnect is not accepted as durability proof,VG-GOV-001 ; VG-SAVE-002 ; VG-CORE-004,native/persistence/profile/load-and-save-one-actual-server-profile.hpp ; native/tests/roadmap/save-003_contract_test.cpp,native/include/verdigris/networking.hpp ; native/src/networking.cpp ; native/src/server_main.cpp,
VG-SAVE-004,Add idempotent transaction records,SAVE,Persistence engineer,G1,P0,DRAFT,C,"Record transaction ID, precondition revision and committed result","Replayed transaction returns the recorded result with no extra mutation ; The changed behavior is exercised through the named production boundary, or explicitly classified as a contract/artifact-only task. ; Independent review checks the negative control and current integration applicability.",Duplicate extraction/craft commands cannot award or spend twice,VG-GOV-001 ; VG-SAVE-003,native/persistence/profile/add-idempotent-transaction-records.hpp ; native/tests/roadmap/save-004_contract_test.cpp,native/include/verdigris/networking.hpp ; native/src/networking.cpp ; native/src/server_main.cpp,
VG-SAVE-005,Commit extraction as one durable operation,SAVE,Persistence engineer,G2,P1,DRAFT,B,Transfer carried value and House progression atomically,"Crash around commit yields either complete old state or complete new state ; The changed behavior is exercised through the named production boundary, or explicitly classified as a contract/artifact-only task. ; Independent review checks the negative control and current integration applicability.",No carried-and-stored duplicate ownership is observable,VG-GOV-001 ; VG-SAVE-004 ; VG-GOV-006 ; VG-ITEM-005,native/persistence/profile/commit-extraction-as-one-durable-operation.hpp ; native/tests/roadmap/save-005_contract_test.cpp,native/include/verdigris/networking.hpp ; native/src/networking.cpp ; native/src/server_main.cpp,
VG-SAVE-006,Commit permanent death and succession,SAVE,Persistence engineer,G2,P1,DRAFT,C,"Persist mortal death, item disposition and successor eligibility together","Restart cannot resurrect the fallen Scion or erase the crypt consequence ; The changed behavior is exercised through the named production boundary, or explicitly classified as a contract/artifact-only task. ; Independent review checks the negative control and current integration applicability.",Duplicate death events do not create duplicate relic candidates,VG-GOV-001 ; VG-SAVE-004 ; VG-GOV-006 ; VG-ITEM-001,native/persistence/profile/commit-permanent-death-and-succession.hpp ; native/tests/roadmap/save-006_contract_test.cpp,native/include/verdigris/networking.hpp ; native/src/networking.cpp ; native/src/server_main.cpp,
VG-SAVE-007,Add corrupt-save and migration recovery,SAVE,Persistence engineer,G2,P1,DRAFT,B,Implement backup selection and one tested schema migration,"Truncation, invalid revision and prior-version fixtures recover or fail visibly ; The changed behavior is exercised through the named production boundary, or explicitly classified as a contract/artifact-only task. ; Independent review checks the negative control and current integration applicability.",Recovery never silently replaces progress with a fresh profile,VG-GOV-001 ; VG-SAVE-003,native/persistence/profile/add-corrupt-save-and-migration-recovery.hpp ; native/tests/roadmap/save-007_contract_test.cpp,native/include/verdigris/networking.hpp ; native/src/networking.cpp ; native/src/server_main.cpp,
VG-SAVE-008,Fault-inject the durable loop,SAVE,Persistence engineer,G3,P1,DRAFT,B,Kill the process at controlled transaction checkpoints on disposable profiles,"Extraction, death and crafting preserve declared invariants across restart ; The changed behavior is exercised through the named production boundary, or explicitly classified as a contract/artifact-only task. ; Independent review checks the negative control and current integration applicability.",Never run destructive fault tests on real owner saves,VG-GOV-001 ; VG-SAVE-005 ; VG-SAVE-006 ; VG-SAVE-007 ; VG-FORGE-003,native/persistence/profile/fault-inject-the-durable-loop.hpp ; native/tests/roadmap/save-008_contract_test.cpp,native/include/verdigris/networking.hpp ; native/src/networking.cpp ; native/src/server_main.cpp,
VG-HOUSE-001,Define horizontal House investment,HOUSE,Progression engineer / designer,G1,P0,DRAFT,B,Specify one durable access or preparation unlock with bounded power,"Benefit, cost and successor inheritance are explicit and approved ; The changed behavior is exercised through the named production boundary, or explicitly classified as a contract/artifact-only task. ; Independent review checks the negative control and current integration applicability.",Unlimited cumulative damage is not the default House reward,VG-GOV-001 ; VG-GOV-007 ; VG-GOV-006,native/systems/house/define-horizontal-house-investment.hpp ; native/tests/roadmap/house-001_contract_test.cpp,native/src/networking.cpp ; native/client/main.cpp,
VG-HOUSE-002,Integrate one House investment,HOUSE,Progression engineer / designer,G2,P1,DRAFT,B,Apply one approved investment using the canonical profile service,"Cost and access survive restart and affect a real route or preparation option ; The changed behavior is exercised through the named production boundary, or explicitly classified as a contract/artifact-only task. ; Independent review checks the negative control and current integration applicability.",UI-only purchased state cannot unlock gameplay,VG-GOV-001 ; VG-HOUSE-001 ; VG-SAVE-004 ; VG-CORE-004,native/systems/house/integrate-one-house-investment.hpp ; native/tests/roadmap/house-002_contract_test.cpp,native/src/networking.cpp ; native/client/main.cpp,TASK-0200 ; TASK-0201
VG-HOUSE-003,Bound the Legends event record,HOUSE,Progression engineer / designer,G2,P1,DRAFT,B,Store milestone records and counters with a fixed retention policy,"Repeated combat keeps history within its budget while retaining key events ; The changed behavior is exercised through the named production boundary, or explicitly classified as a contract/artifact-only task. ; Independent review checks the negative control and current integration applicability.",One string per hit cannot grow the save without bound,VG-GOV-001 ; VG-CORE-006 ; VG-SAVE-002,native/systems/house/bound-the-legends-event-record.hpp ; native/tests/roadmap/house-003_contract_test.cpp,native/src/networking.cpp ; native/client/main.cpp,
VG-HOUSE-004,Create one relic recovery claim,HOUSE,Progression engineer / designer,G2,P1,DRAFT,B,Represent a fallen item's recoverable eligibility and provenance,"One candidate surfaces at most once and remains attributable to its owner ; The changed behavior is exercised through the named production boundary, or explicitly classified as a contract/artifact-only task. ; Independent review checks the negative control and current integration applicability.",Abandoning a spawned relic cannot duplicate its recovery eligibility,VG-GOV-001 ; VG-SAVE-006 ; VG-HOUSE-003 ; VG-ITEM-001,native/systems/house/create-one-relic-recovery-claim.hpp ; native/tests/roadmap/house-004_contract_test.cpp,native/src/networking.cpp ; native/client/main.cpp,TASK-0202
VG-HOUSE-005,Reward a targeted recovery expedition,HOUSE,Progression engineer / designer,G3,P1,DRAFT,B,Bind one disclosed recovery opportunity to route and reward rules,"Real expedition recovery updates item ownership and crypt status together ; The changed behavior is exercised through the named production boundary, or explicitly classified as a contract/artifact-only task. ; Independent review checks the negative control and current integration applicability.",A client cannot choose an arbitrary lost item ID as a reward,VG-GOV-001 ; VG-HOUSE-004 ; VG-WORLD-005 ; VG-SAVE-004,native/systems/house/reward-a-targeted-recovery-expedition.hpp ; native/tests/roadmap/house-005_contract_test.cpp,native/src/networking.cpp ; native/client/main.cpp,
VG-HOUSE-006,Complete the successor front door,HOUSE,Progression engineer / designer,G3,P1,DRAFT,B,"Wire death summary, successor creation and preparation into native UI","A player understands retained/lost value and returns to play with a successor ; The changed behavior is exercised through the named production boundary, or explicitly classified as a contract/artifact-only task. ; Independent review checks the negative control and current integration applicability.",The old Scion's complete bag cannot silently transfer,VG-GOV-001 ; VG-SAVE-006 ; VG-HOUSE-002 ; VG-UI-006,native/systems/house/complete-the-successor-front-door.hpp ; native/tests/roadmap/house-006_contract_test.cpp,native/src/networking.cpp ; native/client/main.cpp,TASK-0145 ; TASK-0197
VG-HOUSE-007,Bound a named monster Legend,HOUSE,Progression engineer / designer,G4,P2,DRAFT,B,Persist one escaped killer's bounded modifier/history record for later use,"Replay produces a capped future encounter variant with readable provenance ; The changed behavior is exercised through the named production boundary, or explicitly classified as a contract/artifact-only task. ; Independent review checks the negative control and current integration applicability.",A past monster cannot gain unbounded levels from repeated records,VG-GOV-001 ; VG-HOUSE-003 ; VG-ENEMY-006 ; VG-GOV-007,native/systems/house/bound-a-named-monster-legend.hpp ; native/tests/roadmap/house-007_contract_test.cpp,native/src/networking.cpp ; native/client/main.cpp,
VG-HOUSE-008,Prove a multigeneration House journey,HOUSE,Progression engineer / designer,G3,P1,DRAFT,B,"Complete expedition, craft, mortal death, successor and targeted recovery","Three-session test preserves history and creates meaningful changed choices ; The changed behavior is exercised through the named production boundary, or explicitly classified as a contract/artifact-only task. ; Independent review checks the negative control and current integration applicability.",A disconnected client cannot skip the approved loss policy,VG-GOV-001 ; VG-HOUSE-005 ; VG-HOUSE-006 ; VG-FORGE-006 ; VG-QA-003,native/systems/house/prove-a-multigeneration-house-journey.hpp ; native/tests/roadmap/house-008_contract_test.cpp,native/src/networking.cpp ; native/client/main.cpp,
VG-WORLD-001,Freeze world coordinate conversion,WORLD,World-generation engineer,G1,P0,DRAFT,B,"Specify tile, world, render and navigation conversions","Round-trip and boundary fixtures agree at walls, stairs and screen picking ; The changed behavior is exercised through the named production boundary, or explicitly classified as a contract/artifact-only task. ; Independent review checks the negative control and current integration applicability.",UI scaling must not alter authoritative collision coordinates,VG-GOV-001 ; VG-CORE-002,native/content/world/freeze-world-coordinate-conversion.hpp ; native/tests/roadmap/world-001_contract_test.cpp,native/src/core.cpp ; native/client/presentation_state.cpp,
VG-WORLD-002,Expose one canonical collision query,WORLD,World-generation engineer,G1,P0,DRAFT,B,Provide solid/line/swept queries over a validated instance layout,"Collision and navigation agree on a fixed corridor/corner fixture ; The changed behavior is exercised through the named production boundary, or explicitly classified as a contract/artifact-only task. ; Independent review checks the negative control and current integration applicability.",A visually blocked wall cannot be traversable by the canonical query,VG-GOV-001 ; VG-WORLD-001 ; VG-CORE-001,native/content/world/expose-one-canonical-collision-query.hpp ; native/tests/roadmap/world-002_contract_test.cpp,native/src/core.cpp ; native/client/presentation_state.cpp,
VG-WORLD-003,Integrate one Cartographer seed,WORLD,World-generation engineer,G2,P1,DRAFT,B,Load one generated layout through the native content boundary,"Same version and seed yield identical topology and metadata ; The changed behavior is exercised through the named production boundary, or explicitly classified as a contract/artifact-only task. ; Independent review checks the negative control and current integration applicability.",A content adapter cannot mutate the simulation RNG stream unexpectedly,VG-GOV-001 ; VG-GOV-004 ; VG-WORLD-001 ; VG-TOOLS-002 ; VG-CORE-005,native/content/world/integrate-one-cartographer-seed.hpp ; native/tests/roadmap/world-003_contract_test.cpp,native/src/core.cpp ; native/client/presentation_state.cpp,TASK-0191 ; TASK-0192
VG-WORLD-004,Validate objective and exit reachability,WORLD,World-generation engineer,G2,P1,DRAFT,B,"Add graph checks for entrance, exit, mandatory objective and safe spawn","A large seed corpus reports exact failing seeds and paths ; The changed behavior is exercised through the named production boundary, or explicitly classified as a contract/artifact-only task. ; Independent review checks the negative control and current integration applicability.",Intentionally blocked exits and unreachable bosses fail the gate,VG-GOV-001 ; VG-WORLD-003 ; VG-WORLD-002,native/content/world/validate-objective-and-exit-reachability.hpp ; native/tests/roadmap/world-004_contract_test.cpp,native/src/core.cpp ; native/client/presentation_state.cpp,
VG-WORLD-005,Publish a route decision contract,WORLD,World-generation engineer,G2,P1,DRAFT,B,"Describe goal, danger, reward family, branch and return condition","Route UI consumes authored facts rather than names alone ; The changed behavior is exercised through the named production boundary, or explicitly classified as a contract/artifact-only task. ; Independent review checks the negative control and current integration applicability.",Missing reward or extraction semantics are visible validation failures,VG-GOV-001 ; VG-WORLD-003 ; VG-GOV-007,native/content/world/publish-a-route-decision-contract.hpp ; native/tests/roadmap/world-005_contract_test.cpp,native/src/core.cpp ; native/client/presentation_state.cpp,
VG-WORLD-006,Implement instance retirement rules,WORLD,World-generation engineer,G2,P1,DRAFT,B,"Apply approved reentry, floor-drop and pending-recovery semantics","Reentering and retiring an instance follow the same authoritative policy ; The changed behavior is exercised through the named production boundary, or explicitly classified as a contract/artifact-only task. ; Independent review checks the negative control and current integration applicability.",Leaving a floor cannot duplicate ground drops or retire durable claims,VG-GOV-001 ; VG-GOV-006 ; VG-CORE-007 ; VG-ITEM-005,native/content/world/implement-instance-retirement-rules.hpp ; native/tests/roadmap/world-006_contract_test.cpp,native/src/core.cpp ; native/client/presentation_state.cpp,TASK-0176 ; TASK-0189
VG-WORLD-007,Integrate one portal or gate interaction,WORLD,World-generation engineer,G3,P1,DRAFT,B,Connect the existing gate model to validated entry/return commands,"Real controls enter and leave the correct instance with explicit failure feedback ; The changed behavior is exercised through the named production boundary, or explicitly classified as a contract/artifact-only task. ; Independent review checks the negative control and current integration applicability.",A presentation-only gate cannot grant route access,VG-GOV-001 ; VG-WORLD-005 ; VG-WORLD-006 ; VG-UI-006,native/content/world/integrate-one-portal-or-gate-interaction.hpp ; native/tests/roadmap/world-007_contract_test.cpp,native/src/core.cpp ; native/client/presentation_state.cpp,TASK-0175 ; TASK-0188
VG-WORLD-008,Separate visual dressing from topology,WORLD,World-generation engineer,G3,P1,DRAFT,B,Apply a versioned decoration pass to one approved layout,"Art changes leave collision, spawn and reward seeds unchanged ; The changed behavior is exercised through the named production boundary, or explicitly classified as a contract/artifact-only task. ; Independent review checks the negative control and current integration applicability.",A tree visual cannot create an unreported authoritative obstacle,VG-GOV-001 ; VG-WORLD-003 ; VG-ART-004 ; VG-GPU-005,native/content/world/separate-visual-dressing-from-topology.hpp ; native/tests/roadmap/world-008_contract_test.cpp,native/src/core.cpp ; native/client/presentation_state.cpp,
VG-ENEMY-001,Implement one pursuit role,ENEMY,AI engineer / encounter designer,G2,P1,DRAFT,B,"Give one enemy a bounded pursue, attack and disengage state machine","Enemy reaches legal melee contact and stops at authored leash conditions ; The changed behavior is exercised through the named production boundary, or explicitly classified as a contract/artifact-only task. ; Independent review checks the negative control and current integration applicability.",It cannot chase through walls or attack outside its geometry,VG-GOV-001 ; VG-WORLD-002 ; VG-ACT-002,native/systems/encounters/implement-one-pursuit-role.hpp ; native/tests/roadmap/enemy-001_contract_test.cpp,native/src/core.cpp ; native/client/presentation_state.cpp,
VG-ENEMY-002,Finish the existing ranged-role packet,ENEMY,AI engineer / encounter designer,G2,P1,DRAFT,B,Reuse or extend TASK-0108 for one visible ranged attack,"Damage is preceded by an attributable warning and legal ranged hit ; The changed behavior is exercised through the named production boundary, or explicitly classified as a contract/artifact-only task. ; Independent review checks the negative control and current integration applicability.",The same enemy labeled melee does not perform the ranged attack,VG-GOV-001 ; VG-GOV-004 ; VG-ACT-004 ; VG-ACT-005,native/systems/encounters/finish-the-existing-ranged-role-packet.hpp ; native/tests/roadmap/enemy-002_contract_test.cpp,native/src/core.cpp ; native/client/presentation_state.cpp,TASK-0108
VG-ENEMY-003,Implement one support role,ENEMY,AI engineer / encounter designer,G2,P1,DRAFT,B,Add one approved buff/heal action with target choice and cooldown,"Support changes a pack interaction through the shared effects system ; The changed behavior is exercised through the named production boundary, or explicitly classified as a contract/artifact-only task. ; Independent review checks the negative control and current integration applicability.",Dead or out-of-range allies cannot receive the effect,VG-GOV-001 ; VG-STAT-005 ; VG-ENEMY-001,native/systems/encounters/implement-one-support-role.hpp ; native/tests/roadmap/enemy-003_contract_test.cpp,native/src/core.cpp ; native/client/presentation_state.cpp,
VG-ENEMY-004,Add bounded local avoidance,ENEMY,AI engineer / encounter designer,G2,P1,DRAFT,B,Resolve one multi-enemy congestion case around a doorway,"A fixed pack does not stack into one point or permanently block itself ; The changed behavior is exercised through the named production boundary, or explicitly classified as a contract/artifact-only task. ; Independent review checks the negative control and current integration applicability.",Increased pack count must remain within the per-tick work budget,VG-GOV-001 ; VG-ENEMY-001 ; VG-WORLD-002 ; VG-PERF-002,native/systems/encounters/add-bounded-local-avoidance.hpp ; native/tests/roadmap/enemy-004_contract_test.cpp,native/src/core.cpp ; native/client/presentation_state.cpp,
VG-ENEMY-005,Cook one mixed-role encounter,ENEMY,AI engineer / encounter designer,G2,P1,DRAFT,B,Author one melee/ranged/support pack with spawn and escape constraints,"The pack validates and produces more than one tactical priority ; The changed behavior is exercised through the named production boundary, or explicitly classified as a contract/artifact-only task. ; Independent review checks the negative control and current integration applicability.",Random spawn ordering cannot place the player under unavoidable instant damage,VG-GOV-001 ; VG-ENEMY-001 ; VG-ENEMY-002 ; VG-ENEMY-003 ; VG-WORLD-004,native/systems/encounters/cook-one-mixed-role-encounter.hpp ; native/tests/roadmap/enemy-005_contract_test.cpp,native/src/core.cpp ; native/client/presentation_state.cpp,
VG-ENEMY-006,Constrain elite modifier composition,ENEMY,AI engineer / encounter designer,G3,P1,DRAFT,B,Validate and instantiate one permitted elite combination,"Budget, incompatibility and telegraph visibility rules are enforced ; The changed behavior is exercised through the named production boundary, or explicitly classified as a contract/artifact-only task. ; Independent review checks the negative control and current integration applicability.",An invalid combination cannot produce unavoidable overlapping threats,VG-GOV-001 ; VG-ENEMY-005 ; VG-STAT-007,native/systems/encounters/constrain-elite-modifier-composition.hpp ; native/tests/roadmap/enemy-006_contract_test.cpp,native/src/core.cpp ; native/client/presentation_state.cpp,
VG-ENEMY-007,Implement one boss phase transition,ENEMY,AI engineer / encounter designer,G3,P1,DRAFT,B,Add one approved boss phase using existing action primitives,"Threshold transition cancels stale attacks and changes a readable pattern ; The changed behavior is exercised through the named production boundary, or explicitly classified as a contract/artifact-only task. ; Independent review checks the negative control and current integration applicability.",Phase changes cannot duplicate rewards or trigger dead attacks,VG-GOV-001 ; VG-ENEMY-005 ; VG-ACT-006 ; VG-GOV-007,native/systems/encounters/implement-one-boss-phase-transition.hpp ; native/tests/roadmap/enemy-007_contract_test.cpp,native/src/core.cpp ; native/client/presentation_state.cpp,
VG-ENEMY-008,Playtest encounter counterplay,ENEMY,AI engineer / encounter designer,G3,P1,DRAFT,B,Record fixed-build runs against mixed pack and boss,"Review identifies threat source, usable response and failure cause ; The changed behavior is exercised through the named production boundary, or explicitly classified as a contract/artifact-only task. ; Independent review checks the negative control and current integration applicability.",A successful damage sponge test does not prove readable counterplay,VG-GOV-001 ; VG-ENEMY-006 ; VG-ENEMY-007 ; VG-ACT-007 ; VG-QA-004,native/systems/encounters/playtest-encounter-counterplay.hpp ; native/tests/roadmap/enemy-008_contract_test.cpp,native/src/core.cpp ; native/client/presentation_state.cpp,
VG-STORY-001,Author the first goal card,STORY,Level designer / narrative designer,G2,P1,DRAFT,B,Write one concise expedition objective with explicit stakes and reward,"New players can state why they are leaving and what safe return means ; The changed behavior is exercised through the named production boundary, or explicitly classified as a contract/artifact-only task. ; Independent review checks the negative control and current integration applicability.",The objective is not a checklist with unexplained nouns,VG-GOV-001 ; VG-GOV-007 ; VG-WORLD-005,native/content/campaign/author-the-first-goal-card.md,native/content ; native/client/main.cpp,
